keggEntryID	geneSymbol	pathwayEntry	pathwayName	pathwayClass	type
5161	PDHA2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5160	PDHA1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5162	PDHB	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
1737	DLAT	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
1738	DLD	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
160287	LDHAL6A	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
92483	LDHAL6B	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
3939	LDHA	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
3945	LDHB	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
3948	LDHC	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
124	ADH1A	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
125	ADH1B	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
126	ADH1C	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
131	ADH7	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
127	ADH4	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
128	ADH5	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
130	ADH6	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
10327	AKR1A1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
217	ALDH2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
224	ALDH3A2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
219	ALDH1B1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
501	ALDH7A1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
223	ALDH9A1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
221	ALDH3B1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
222	ALDH3B2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
218	ALDH3A1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
84532	ACSS1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
55902	ACSS2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
130589	GALM	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5236	PGM1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
55276	PGM2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
2538	G6PC	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
57818	G6PC2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
92579	G6PC3	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
83440	ADPGK	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
669	BPGM	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
9562	MINPP1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5105	PCK1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5106	PCK2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
1431	CS	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
47	ACLY	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
50	ACO2	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
48	ACO1	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
3417	IDH1	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
3418	IDH2	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
3420	IDH3B	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
3421	IDH3G	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
3419	IDH3A	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
55753	OGDHL	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
4967	OGDH	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
1743	DLST	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
1738	DLD	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
8802	SUCLG1	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
8801	SUCLG2	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
8803	SUCLA2	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
6389	SDHA	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
6390	SDHB	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
6391	SDHC	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
6392	SDHD	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
2271	FH	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
4190	MDH1	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
4191	MDH2	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
5091	PC	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
5105	PCK1	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
5106	PCK2	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
5161	PDHA2	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
5160	PDHA1	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
5162	PDHB	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
1737	DLAT	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	gene
2821	GPI	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
2539	G6PD	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
25796	PGLS	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
9563	H6PD	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
5226	PGD	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
6120	RPE	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
729020	RPEL1	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
7086	TKT	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
84076	TKTL2	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
8277	TKTL1	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
6888	TALDO1	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
22934	RPIA	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
51071	DERA	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
64080	RBKS	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
5236	PGM1	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
55276	PGM2	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
221823	PRPS1L1	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
5634	PRPS2	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
5631	PRPS1	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
9104	RGN	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
414328	IDNK	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
132158	GLYCTK	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
230	ALDOC	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
226	ALDOA	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
229	ALDOB	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
2203	FBP1	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
8789	FBP2	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
5213	PFKM	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
5214	PFKP	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
5211	PFKL	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	gene
2990	GUSB	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
9365	KL	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
10941	UGT2A1	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
79799	UGT2A3	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
7367	UGT2B17	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
10720	UGT2B11	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
54490	UGT2B28	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
54578	UGT1A6	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
54657	UGT1A4	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
54658	UGT1A1	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
54659	UGT1A3	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
7365	UGT2B10	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
54600	UGT1A9	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
7364	UGT2B7	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
54575	UGT1A10	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
54576	UGT1A8	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
54579	UGT1A5	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
7366	UGT2B15	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
54577	UGT1A7	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
7363	UGT2B4	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
574537	UGT2A2	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
7358	UGDH	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
7360	UGP2	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
10327	AKR1A1	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
51084	CRYL1	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
6120	RPE	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
729020	RPEL1	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
9942	XYLB	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
231	AKR1B1	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
57016	AKR1B10	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
51181	DCXR	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
6652	SORD	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
27294	DHDH	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
729920	CRPPA	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	gene
4351	MPI	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
5373	PMM2	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
5372	PMM1	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
29925	GMPPB	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
29926	GMPPA	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
2762	GMDS	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
7264	GFUS	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
8790	FPGT	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
197258	FCSK	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
55556	ENOSF1	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
3101	HK3	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
3098	HK1	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
3099	HK2	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
80201	HKDC1	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
5213	PFKM	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
5214	PFKP	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
5211	PFKL	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
2203	FBP1	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
8789	FBP2	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
5207	PFKFB1	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
5208	PFKFB2	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
5209	PFKFB3	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
5210	PFKFB4	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
57103	TIGAR	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
3795	KHK	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
6652	SORD	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
231	AKR1B1	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
57016	AKR1B10	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
230	ALDOC	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
226	ALDOA	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
229	ALDOB	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
7167	TPI1	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
26007	TKFC	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	gene
130589	GALM	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
2584	GALK1	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
2592	GALT	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
2582	GALE	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
7360	UGP2	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
5236	PGM1	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
55276	PGM2	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
3101	HK3	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
3098	HK1	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
3099	HK2	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
80201	HKDC1	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
2645	GCK	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
2538	G6PC	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
57818	G6PC2	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
92579	G6PC3	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
2720	GLB1	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
3938	LCT	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
3906	LALBA	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
2683	B4GALT1	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
8704	B4GALT2	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
2717	GLA	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
231	AKR1B1	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
57016	AKR1B10	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
5213	PFKM	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
5214	PFKP	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
5211	PFKL	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
8972	MGAM	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
93432	MGAM2	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
2548	GAA	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
2595	GANC	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
6476	SI	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	gene
7358	UGDH	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
10941	UGT2A1	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
79799	UGT2A3	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
7367	UGT2B17	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
10720	UGT2B11	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
54490	UGT2B28	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
54578	UGT1A6	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
54657	UGT1A4	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
54658	UGT1A1	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
54659	UGT1A3	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
7365	UGT2B10	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
54600	UGT1A9	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
7364	UGT2B7	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
54575	UGT1A10	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
54576	UGT1A8	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
54579	UGT1A5	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
7366	UGT2B15	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
54577	UGT1A7	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
7363	UGT2B4	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
574537	UGT2A2	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
55586	MIOX	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
9104	RGN	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
217	ALDH2	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
224	ALDH3A2	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
219	ALDH1B1	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
501	ALDH7A1	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
223	ALDH9A1	hsa00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism	gene
8972	MGAM	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
93432	MGAM2	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
2548	GAA	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
2595	GANC	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
6476	SI	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
7360	UGP2	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
5167	ENPP1	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
5169	ENPP3	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
57733	GBA3	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
2998	GYS2	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
2997	GYS1	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
2992	GYG1	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
8908	GYG2	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
2632	GBE1	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
5836	PYGL	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
5837	PYGM	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
5834	PYGB	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
178	AGL	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
278	AMY1C	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
279	AMY2A	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
276	AMY1A	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
280	AMY2B	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
277	AMY1B	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
11181	TREH	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
5236	PGM1	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
55276	PGM2	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
3101	HK3	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
3098	HK1	hsa00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism	gene
